reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOEveIUMWrNtHaPaZw9S4KRWORr0MV_sGyMhKbYVDjZlTDM4Ke_wS9LzU_mJzcxzNFuHJo_ianMgFyYi-S8,Ash Leigh Majcen,https://play-lh.googleusercontent.com/a-/AOh14GjvbW7_rLDuWmG2v1xWgtOJtl2smlA6pV1rZLy1_A,This is such a wonderful concept I love being able to help people but this is my second call and I haven't been able to connect to anyone. It's not my internet connection and I can't find anyone to speak to on the issue. There's no one to report issues to with inside of the app. After reading additional reviews it's clear my issue isn't just me I hope they fix this app so that more people can use it.,3,27,1.6.9,2021-12-19 00:24:35,,
gp:AOqpTOGbvfLJzH9Uk2UHjxdD8HalCoPB1b3EtCJdq7I185m56T04_N-LtSS6wRGi-TqQ0AtAm-7FZe47q1krTmw,Karen Williams,https://play-lh.googleusercontent.com/a-/AOh14GjQCjTiciKSndo_N60oP1V0enuVqU22fFyeTSL0ZjM,"I've had the app for just under a year and have had about four calls reach my phone. Historically other volunteers have answered more quickly than me, but tonight I was able to help someone ""see"" the buttons on their dishwasher. Such an easy way to help a fellow human. For those who haven't gotten the chance to be the first to connect, be patient. It's worth it.",5,45,1.6.9,2022-01-02 04:10:54,,
gp:AOqpTOFPiyQT1dBadMbsB9kq11wfhYjGmMdn01RFE2YLz2B77piPj3HFphGyQIaJtNb05rjCOBJE5MGlPTMpHIY,Hilary Dooley,https://play-lh.googleusercontent.com/a/AATXAJyYXApz-qYqqLtsVTK1Dynb2vs_xU9a50UNSJA5=mo,"I LOVE the concept of this app, but every time I receive a call, the app does not open the video and I cannot help the person who called for help. Everything is updated and all permissions are granted. All of the calls I have received were at a time when my phone could access working and fast Wi-Fi as well as cellular service. Disappointing because the concept is so great!",2,25,1.6.6,2021-10-18 20:47:04,,
gp:AOqpTOFlQ4VsccUoUuOK4FUJV7BKRqrrjN7rm2gwdmrRN7mj_mF0PSqm90TH3v6ft1VPAagLpifB3yALrD5Ua1w,Emma Gallegos,https://play-lh.googleusercontent.com/a-/AOh14GjGT00MJy0Cz_FMigzcpYOuVY-p-gfS1juC7bS81Dc,"The app hasn't worked in months for me. I've done every update and it won't answer a call or when it does I can't turn on their camera. I've been chatting with someone and it will say ""trying to answer call"" while I'm already talking with them. Will give the app 5 stars when I'm able to use it properly. I've only ever had 2/5 calls go through and I've had this app for a couple of years now.",1,29,1.6.6,2021-10-26 23:06:53,,
gp:AOqpTOHdHJTj32NoytWo3_OHkVpprYI8J-N1NzrcobnQfRWMNyi-KWNTeZAHi7dKZdD1RxDM8Uft9YJptGmT10k,Aixa Raquel,https://play-lh.googleusercontent.com/a-/AOh14Gg7K6w-ssAxogpDoDblFD33QqvwV5ObMfYA6S6tRrY,"I so love the principle and the idea behind this app. I keep it to assist others when in need. Nonetheless, I can hardly ever answer calls because the button to do so is unresponsive when tapped. Just today, after years of being registered and available in the app, I was able to answer a call but then the audio was so incredibly faint that I had to end up guessing what the person needed and what they were saying. Please evaluate these issues as possible bugs to fix or enhancements to consider.",2,72,1.6.4,2021-07-28 22:05:04,,
gp:AOqpTOHrQcaZl0eUeLYkBj79S760U13dEn1SrSYLDcrni3OGjbYcu5bqhQkVAhn61agSnS4WNA59XgNs5Vd7Cb0,Yara Khatib,https://play-lh.googleusercontent.com/a-/AOh14GirDh2UlBWlQHFqrm5nzZcK-yBp5pV1hixZgqcR9A,"Amazing idea but the app has some bugs and technical issues. The camera quality is not good enough to help with tasks such as assistance in reading. I also recommend that a sighted person help set up the initial placement of the camera and place some sort of indicator that the callers use to know where to place a document (for assistance in reading mail, for example) so that it can be of a legible distance and position from the camera.",4,140,1.6.4,2021-06-11 20:40:30,,
gp:AOqpTOGmwcbpmCNkq6Yk8566O3LpsqR4QSZxA0v5Qcias7GDG-36q7iQ-8gI-bDE4SxZ3gJIixwT_x80-yPSGnQ,Kyle Lowry,https://play-lh.googleusercontent.com/a/AATXAJy01NMvQdFujR8IKoV0AZD9L45tlRVzF2ySnG5S=mo,"Really great idea but the app doesn't really work. I've gotten maybe 5 calls. One I was able to help in spite of really poor video quality. One I just couldn't help because the video was so bad. The other three I tried to answer but we never got connected. I just sat there waiting and nothing ever happened. And then the feedback feature in the app doesn't work, so I hope they read these.",2,56,1.6.5,2021-09-21 15:18:54,,
gp:AOqpTOFYrnQPSqf_ikPEEYSjXoCvrcsFBoeaczY3CFQ6aaVTwe11zvkr5_BvY0GfZj_e4dV2fS6_60aprmSUl8I,Justin Halbrook,https://play-lh.googleusercontent.com/a-/AOh14GjRZ0yWS-5GoSyH0xBUiEw3m9747rsM5W_hNd1Hdw,"I've been a helper since 2018, but unfortunately had not been able to answer many calls. Today while reactivating the app on my new phone I immediately received a call. The video and audio quality isn't amazing (could have been the cell network) but with careful communication we were able to successfully get what we needed done. Complaints on quality cannot be immediately blamed on the app, as different areas have different service speeds and qualities.",5,39,1.6.4,2021-07-06 20:25:57,,
gp:AOqpTOGXBidahgEaB6WkzqT4PN2xgS08y6uHQDkZUUedy7C2xT4RdxZmJrQP5hAMZN3eQOuhRbCSHVHAvx1sypQ,Danielle Baucke,https://play-lh.googleusercontent.com/a/AATXAJyrq8MbwlNOkMVZLKkdzMXSVqlDpwvKxxg4KO-nxA=mo,"Truly an incredible use of technology. I've had the app since it launched in 2017 & I've had the pleasure of answering about 5 calls as a volunteer. I've received more calls than that but I didn't always answer quick enough so the calls went to someone else. I've helped people read instructions, identify colors, & give directions. The calls are usually quick but they are always the highlight of my day. It feels good to help others & reminds me to be grateful for things I often take for granted.",5,48,1.6.3,2021-05-24 23:19:05,,
gp:AOqpTOF-iIIqMxp7xh6p3-8kjBO_ffFkxlcRLNXb_TwTnfU557t5PC6tucRVAW2RV3VaSpHNk9EknSY7MKaCzic,Jon Winquist,https://play-lh.googleusercontent.com/a-/AOh14GggXuAJK_ShAQviEXrMrtfe7Dy6ZtQxyW2HjYITakU,"great app. its so easy to help others and it doesn't take alot of time. even if it did, it's really satisfying helping someone. for example, help them choose or pick out their preferred color of shirt or sort cash, understand directions on a vending machine for example. the calls I've taken last about 20 seconds. its so great to know that there are 15 times the number of volunteers vs the number of blind people using the app. I actually wish I would receive more calls.",5,0,,2021-09-10 06:52:54,,
gp:AOqpTOH-RmFzID9cuy_JmHmNwENbvgp4n36DxoTMAlNUAwkTvymRDRaN4z8B2Qr3T5JXFyYL3FE7Ts6UTnvB_V4,Molly,https://play-lh.googleusercontent.com/a-/AOh14GjqdUg9pxxjsjP-ZKDCvI1S2MQx7u7LV9BPs_ewN1w,"I've only gotten 4 calls since installing the app a year or two ago. There are so many volunteers, that's probably normal, but I still make a point to try and open the app once each day. Regardless of what the developers say, I suspect sometimes my phone's battery-saving settings can get in the way of it running in the background. If you never get any calls ever, try that.",5,73,1.4.5,2021-01-31 04:03:05,,
gp:AOqpTOFlRvWRM-h9IrjoAS8I3dgCYvc-l0Dh5q496BmDlUnVnnrRXm7CKXMuTgrmHAdOpHDLZ3t8QJMqbZh_rRU,jeff declementi,https://play-lh.googleusercontent.com/a/AATXAJxrI8I-tod5MX_vIKk5Ubob4tfug0nDBYeBxQQH=mo,I would like to see a skills portion to the volunteers profile something along the lines of what you would be great at helping with. Such as I am very proficient with technical skills and think it would be awesome if someone needs help with a technical thing they could specifically ask for someone with better tech skills. I can see many other areas where this could be usefull and would love to see it in the future. Overall this app is absolutely amazing I cant believe what you guys are accomplishing with this wonderful app.,5,69,1.3.0,2018-10-10 15:55:11,,
gp:AOqpTOEEL4d4kMK4GXwEnHhohoqTIvgKCPD60_tspD_ZM_b1iuIe8iEnrvMAqMJ7ppgQ4MBEcGbR743dJvRciu4,Rachael Judd,https://play-lh.googleusercontent.com/a-/AOh14GggKQD8gxroNucaosRra6peNnBLEHL-pK7jbTOmwA,"I just answered my first call and I was able to help them get their oven to the correct temperature even with a mostly blurry view. At the end, the app asks if the call had problems or was good. I tried to select that I had problems to report the fuzzy picture, but it didn't do anything after numerous attempts to select it. It immediately selected good when I touched it.",4,45,1.6.2,2021-04-13 22:13:15,,
gp:AOqpTOHeDmO3qLrD2yBOHsa2yiJsLBtav2_5q4rlveltvuhug5dEZ1fURKfChAmgMDg53fYaV7wthLHb1ZmpPS4,PureHustler153,https://play-lh.googleusercontent.com/a-/AOh14GjdPB0WmCelnhuk3CwOeCg1-mDmHar2Ty6LcoFL,"This app is really cool. It's always good to use technology for helping others. Below are some suggestions from me (not sure if y'all already implemented it or not): 1. Rating system of the helpers. The goal is just to avoid crazy ppl trying to trap or do any non beneficial things to the blind people. 2. Maybe the app can also connect blind people to their nearest people around them. That way, if they need a direction, someone nearby can easily help navigating it.",5,63,1.3.2,2019-04-09 00:26:04,,
gp:AOqpTOHmMjnEkpykjEwSQuo-qfD5ek0KUZqAFaCKI_HrdB6BcXHt82IBfW0uGp4LHxDrdr5scGqz6h3icy97CiQ,Lady Quackers,https://play-lh.googleusercontent.com/a-/AOh14GjuofWmmskSGzllt__QVWNs7uerPh4yG3lcidZNSw,"Great idea and glad to see that the volunteer to user ratio is very high. Unfortunately, I had to delete it instantly for a big reason. I work 12 hour overnight shifts, so I'm actually awake at night and asleep during the day. The app states it automatically assigns a call accepting window to daytime only hours based on your timezone and there's no way to change it. I'd love to at least be able to edit my time zone to trick the app into calling me at night.",3,8,,2019-07-02 14:30:44,,
gp:AOqpTOEZGB1AskbIs2Kd_zwxSx-sZmxab-fM11t-tNIkjBqa442c1ru-d5GL7PV-bcs7wKU09UTPex9zyUfHORY,Tanya Streich,https://play-lh.googleusercontent.com/a-/AOh14Gh4kKjjPV10k94PTEjE_-aFfJ1yc_H5givduydH,"I just received my first call! I helped an older lady with matching her shirt to her shoes. Something so simple, but it made my heart so full. Like...its hard to explain but just being able to assist someone who needs your help with something you take for granted everyday, being able to see. I will always have this app downloaded! Definitely recommend! It is a very rewarding experience/feeling!❤",5,5,1.3.21,2020-08-03 03:31:32,,
gp:AOqpTOElwV0xE56vQOIbWkjt_XkiFfZDKUvEr0Gw0xaJkMJsGloLk3zzmjaCFvDFTc5J-iNVWLsU_P1DiJf5eW4,Davis,https://play-lh.googleusercontent.com/a/AATXAJy_33jzuETcqY_6WOH1wXg-F0zh1CF_8b5eORYN=mo,I just started using be my eyes. And is a fantastic application. I cannot believe the people that donate their time to provide such a service. I however do have a suggestion or 2 to improve the service. It would be fantastic if a volunteer would be able to tap on their screen to indicate where an item might be from a certain distance say for example I am looking for a bench. If they were to tap on the screen where the bench is then I would have a good general direction of where the item is.,4,150,1.4.4,2020-12-05 02:24:00,,
gp:AOqpTOFIW7i22N4OmimCOdEPmQjHOs6eAMqzdxazLDNjUH_L6Unpy3sD0N8kRRlEaKdIM6HmwW4aC63ZgGIX2jc,Gouri Matere,https://play-lh.googleusercontent.com/a-/AOh14GiMA7a0Z6kR7JYGuVfwyzOcAfw6NYeoKjIj5Rgx,idea is great!! but doesn't work for my Android phone. so far I got 4 calls and all the calls had technical issues. my first two calls I couldn't connect because upon answering the call (immediately) I got an error saying sorry couldn't connect. third time I was able to hear a person s voice but his video kept loading. 4th time even after answering the call the screen was just blank..no voice/video. p.s. all the time I was on good 4g network so this was no network issue from my end.,3,25,1.3.9,2019-08-08 21:06:39,,
gp:AOqpTOFztgZ2wt6332qxNRXVORqDM-aQ6iYpXx_VCB7Fz6HS5al6lKGJFAF25BjaYCTCOwgC13FgFnSgd_J3QZQ,Kitty Kelly,https://play-lh.googleusercontent.com/a-/AOh14GgGYooPmK9WbvrXr2yhw73j2ef6jmVvqzgNpM2HpdQ,Want to give it more but the calls just don't always connect .Have been able to attempt to help someone with a video game. Unfortunately I have had two calls that never connect. Really hope that they were able to get help. Is the a que that people go into to recover help. Just curious.,4,1,1.6.6,2021-10-27 18:05:22,,
gp:AOqpTOHQyGiwma5JC3t7PPoR894Dk3FlRVMvuCjZ0k9cSGcTuVpJSAG7A4zbnnEYjRy-trkZXCZpMkd04VACUy4,M E,https://play-lh.googleusercontent.com/a-/AOh14Gi6-psEUbuHJ2Huh6KensCzxXhvOsjG-Sq-LGKjqA,"Amazing - but talking to a blind friend of mine mine uses this app, I feel like a feedback feature may be needed? He has said that he has encountered a handful of people that were not helpful. I think it would be nice for people to be able to choose to not be matched with certain people again or to be more likely to be matched with others. Maybe this has been considered and it's not the best option or maybe the need to volunteer ratio is so different that it's just not an issue.. just a thought!",5,87,1.6.5,2021-09-09 00:19:55,,
gp:AOqpTOFA7v8ZpC6TCNoPfkXHp-6hm-jJW_u8DWtQ63Y9lcoRwUzcAgqTaAnbZYpkl9nokBfNrdYZycZYyK9PZ7o,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"There's nearly 2million volunteers per the 100K users that rely on this app, which means you don't get called frequently, but it's exciting when you do! Someone else beat me to one call, and the other time, I was privileged to help a gentleman verify the contents of an important document. It was a fun and relaxed experience, and an amazing personal use of technology. We hope we get to help again soon!",5,62,1.3.1,2019-01-02 22:28:10,,
gp:AOqpTOFCPYhDjn18XwaE_yZL9S_rzaKOKb9NJFosRorAT1iDrt9PISH5LGFZmzHAynZVwSUIvuePy_iJwbS8VMU,Manda Sexton,https://play-lh.googleusercontent.com/a-/AOh14Gg3DWcduF1sMNg1vcn_2hXwebx6rLqy6mslLGkI,"Answered twice, both didn't work. The thought behind the app is wonderful. I really wanted to help. In total, I recieved two calls. Both times, the quality of the videos were so terrible that I couldn't read the information they needed. I'm not sure if it's the app, my end, or theirs. The frustration, however, has lead me to no longer participate.",2,3,,2021-04-20 15:09:48,,
gp:AOqpTOGooTYv7Ca77umny2DoA9O62bwVs4OKlAZ1iwG1o305CuyoZD4q8CgYnJVPRxQhL9uF6-2y9jXzWWFpqos,Esther Hoffman,https://play-lh.googleusercontent.com/a-/AOh14GhNapIkdlvy4OnRvpZX-Nw9E8l_3EH8_YCa8kz1Lbo,"I would appreciate more clarity regarding the sound settings. The app does not seem to communicate any sound to my bluetooth headset, so I'm not sure if I should accept a call if it comes up when I'm on my bluetooth. I've also had to reject a call when I was watching YouTube, because the notification banner prevents me from pausing the video, and YouTube will sometimes switch to PIP mode in cases like that.",4,54,1.6.4,2021-06-12 17:40:43,,
gp:AOqpTOH0HGRu9xl6ITRvgTOzp1T3WLOUonALAoK2y0cGGLGq3k2KNr9OJy0TjP95TmogwidyaOw6a8GZKjdueWM,thomas fury,https://play-lh.googleusercontent.com/a-/AOh14GizdRaRWY9h64tnAQzqwpdLt9uVJcJ2DV3P7Uj6CSg,"*Check authorizations in app settings* The authorization for the camera in the app may need revoked automatically, as well as the microphone if unused for too long. Considering i get one call every few months, i have missed several opportunities to answer a call because my camera wouldn't open on the app. It would be nice if there was a disclaimer to check permissions and make sure they aren't auto revoked with inactivity. That's all",3,59,1.6.4,2021-06-07 15:23:31,,
gp:AOqpTOG5cIkB9RWDYaIo3fX1uJJKa5OtT3I6B209htiDTMSuweSoBJlogtswzRFXI8aFqtzDau303VnNDmzn-ys,Ethan Soelberg,https://play-lh.googleusercontent.com/a/AATXAJx13pzYwrXZ9BVYZzX1sf4x36mKiR9hvgVsm9n9=mo,"The video feed never comes up. I've tried accepting maybe 8 calls now and not one of them has gotten thru. I've tried updates, re downloading the app etc. I had one call finally come thru today and I could hear the lady's voice but I wasn't able to help without the video. This app has some major kinks that need worked out.",1,6,1.6.6,2021-10-28 19:54:14,,
gp:AOqpTOH-KZUm4z2QZeu0SQBmfcr91GoDJ-Ykb-H9ebXTtBh4F0QiMsjSj1jZ-gu__W8xv01LtkkRplfCmFXV8yU,Krystle Suszter,https://play-lh.googleusercontent.com/a-/AOh14GjQB_EgrFhpFQ_D0toDEjqr06blIySPPdC6kVfjlQ,"I have had 2 calls in the last 2-3 months that were MUCH BETTER than the calls I had last year. Connection, video, and audio has been updated within the app and the experience has been much better than in previous year (I've had the app for two years). Users have been better too (had a couple creepers last year)-- kind, appreciative, polite.",5,26,1.3.21,2020-08-31 21:43:47,,
gp:AOqpTOEi5yMr5tMmTsYo6QN94_vkBvYClWxSPKuvf2ECeSfI8O_s6UELNezwOhd5qQkLnnxzOhaOm4G-6ZL1vMk,Charles Williams,https://play-lh.googleusercontent.com/a-/AOh14GhnpDETRNE-Rt6hZsjkmRq2-2NrZh05gcCZ_-hRdc4,"Although there are a few small tweaks that could make this app better, overall this is a great app. This app is all about helping others that are visually impaired. There are no ads, it's free. It's just to help others. It has a small footprint on your phone and runs unnoticed until someone needs help. Give it a try and be the eyes for someone. I have it on my phone so I know that it works without hurting or slowing down your phone.",5,33,1.3.9,2019-08-09 19:01:37,,
gp:AOqpTOE-hBbkiv6gS3KwqiMMa6xOl2wGUKaJh0ps5aToixuMzZJnmbR3BD_VK4HcStYZnoWm0bK3ooKFtCGIC2o,Katie Brown,https://play-lh.googleusercontent.com/a-/AOh14GiHXW8RzZ4tLP37Yy1jNSGR5zyXrKwoqLVuWXJJtw,"I have been a volunteer for a year. I have received 3 calls total. 2 while I was at work anf unable to answer. The 3rd I answered, but the video did not work, the audio was breaking up and then we were disconnected. It is an amazing idea and I'm sure helps a lot of people, but I think they have more volunteers than are needed. After a year I am considering uninstalling to free up the space on my phone.",4,91,1.3.3,2019-05-22 23:39:12,,
gp:AOqpTOEE_Z6a91d46gdVUQw5Bln__lc7U1OiFou-gnINEe_9NaT_liIzDqgG46-t8YtPIFuWpHtIOA98ySreUI0,Harley Quinn,https://play-lh.googleusercontent.com/a-/AOh14GgYU_Jd_YVUGpPUXvABdhK0cBkNALJZgyUBkeReDg,"Received my first call within days of signin up. But it was a man in another country just trying to flash the call recipient. The call ended abruptly after he appeared on camera pantsless and the option to leave feedback that pops up after the call didn't actually function. Like it was just for show. Obviously people can just sign up and abuse this app and I'm concerned there's no protection against this. Just ""call recipient beware"".",1,144,1.6.4,2021-06-20 17:26:15,,
gp:AOqpTOE7T1t03ZXdX6HRrInWPh-itGjB8_tsnNur1Cw_gtDRRIHaoNuKcQRQIUN4YNBEgrqa-UFkt9M1TjwJzjA,Johann Qua Hiansen,https://play-lh.googleusercontent.com/a-/AOh14GhwBOeEr6VbmU8_kyl7Q5sNLN8a1jUcxkSOjoTIpA,"I have been a volunteer since 2018 and am so grateful for the opportunity to be of service and meet people from all over the world. The app is really easy to use. Video quality suffers when working off of cell data but if on wifi, great to go. Please volunteer especially if you speak unique languages.",5,1,1.6.4,2021-06-29 12:29:00,,
gp:AOqpTOFFIK6MvLMXAOi4fWjowkItYN6zTspoDx3HxjwNoyacjQRCL6SnmRTsc5wcyWqv7hmClIxFM8-SHEWvyKc,Misty Johnson,https://play-lh.googleusercontent.com/a/AATXAJw-fjZp9U2kp2Frjq2PfxRc5rkUygnGRhOX-orn=mo,Video did not work. I got my 1st call and was over the moon excited until I realized that the video never turned on. I could hear the person but the screen was totally black. I feel awful that I wasn't able to help and REALLY hope I get another chance &that it will work next time. It took about 4 months for me to recieve my 1st call so I'm really sad it did not work. PLEASE look into that because it is also inconvenient for the person needing help.,1,419,1.3.13,2019-12-05 05:16:48,"Hello Misty, we apologise for the issue you are having and we appreciate the feedback. You are welcome to reach our tech support from info@bemyeyes.com whenever you face another issue!",2020-01-28 13:03:15
gp:AOqpTOHeUnOKLFWjXKCf0Ru5UNnIT2bIx5uXtlcASjSBwl0A6-uATi23LNFQ4T2iXCyfwlOYxiVAhY5jD8_jP0A,John Torrey,https://play-lh.googleusercontent.com/a/AATXAJw3uK-EAex5IlG-mR4QQNlazD5Pd5d2x0e3cHZr=mo,"App conflicts with Bluetooth connections. Seems to act as an always-on audio source, which among other things means that you can't pair with more than one device. Will happily install again when that is fixed, but it unfortunately means that it doesn't work for me in the current version.",2,2,,2021-06-17 05:29:32,,
gp:AOqpTOE7yEYbrYRDpyV-nD-Uuy8mTULhhwHj2TOTNebVmTozYHMttoUXu-mjNowZfBbsmwovOREXTpEqY1uDvbg,Jakob Edvardsson,https://play-lh.googleusercontent.com/a-/AOh14GiwT9gsWS_LwXKO3GX_4RuXEnPbOthHCH2Ebb5rsg,"Great idea but never worked for me. Tried the test call, got the video but no sound. Tried to use the contact support function but it just opened a share link. Have had the app installed for about a year but never gotten a call to help someone... I hope it's working better for it's intended recipients.",2,7,1.6.4,2021-07-04 15:20:54,,
gp:AOqpTOEIywAZD6aRi2eaHfwYfGkwNYRbRD6ReuqaRKWwREbpJ15cjnOvQfTYoC7a3-oDMCDgPr9h5Yn49EN_54g,C S,https://play-lh.googleusercontent.com/a-/AOh14Ggm6XwBqVqSe5J199Lj759TyUJQp_tg60REwdDhDQ,"This has been a GREAT experience. The app requires minimal information (name and email) and doesn't require any interaction until you recieve a call. If I cant answer, the call goes to the next volunteer. My interactions have felt professional, and actually quite fascinating. It's made me stop and consider the things that I take for granted every day. Worth your time!",5,22,1.3.1,2019-01-25 00:07:48,,
