Title,Link,Posted_on,Budget,Description,Country,Total_jobs_posted,Open_jobs,Total_reviews,Rating,Total_hires,Client_since,Client_spent
"Need a Lead Gen expert. appointment setter. Need meetings, a calendar filled",https://www.upwork.com/job/~01062b296091756972,2021-07-12T09:55:02.011Z,0 USD,"I am looking for set meetings.  Appointment setter.  

Currently have

About 50 articles written
Linkedin automation software
IP tracking software
email automation software
Tech support, creative support, writer support. 

We are a marketing services company, I need someone who understands how to get  meetings.  

If this is you tell me how and what it will cost.   If you don't have the experience getting to get 10 to 20 meetings a month for a marketing company this is not a fit.   Perferably more.",United States,246,16,81,4.97,112,2019-01-06T00:00:00.000Z,32083.23 USD
Content Writer - Expert in Antivirus and Cybersecurity ,https://www.upwork.com/job/~01c64824b5a7a2bf56,2021-07-12T08:50:46.131Z,0 USD,"
A successful international online company is looking for an experienced content writer  who is actually using the antivirus software and can write the content by adding his experience with in the content.


Responsibilities

Write new content
Edit existing content
Give suggestions about subjects to add 

Requirements

Antivirus and cybersecurity expert
Write content by adding his experience from actual usage of the software
Excellent writing and editing skills in English
Native English speaker is a Must
Proven work experience as a content writer
Writer, Copywriter or similar role
Bonus if the person understands SEO







",Israel,409,15,211,4.98,299,2012-01-20T00:00:00.000Z,202659.6 USD
Technical Author / Trainer for Service Desk Transformation Project,https://www.upwork.com/job/~01f5b6e5e5ee620b90,2021-07-12T08:32:03.984Z,0 USD,"The client is a global provider of inventory services to a globally-present internet company. This involves managing stock of various IT equipment from laptops to headphones and all points in between; and to satisfy users’ online requests for that equipment by ensuring its delivery to desk or to the user’s home. The purpose of the service desk is to receive tickets requesting equipment movements, and to make those requests fully actionable before passing them to a separate Field Services department or outsourced courier company to make the physical transfer. Requests may also include problem-solving, and the collection of equipment no longer required by the user, for recycling or disposal.

Documentation on how to do this exists, but it is fragmented, not always written down and lacks format, structure, formal communication, and change control. Some training is already in place and conducted.

Three key areas of knowledge transfer for the Author/Trainer to make are:
·         To train staff to take over from Subject Matter Experts (SME) who are needed elsewhere
·         To create and appoint supervisors / team leaders
·         To upskill ticket-handlers to be able to carry out the function of making ticket requests actionable
This will require research into skillsets and practices. The results of that research should constitute not only the requisite training materials, but also a standard operating procedures manual for the service desk.

As the service desk matures in this function, we anticipate that it will be asked to take on new functions such as traditional IT Support; so all products of this project should be versatile in terms of knowledge to be documented, and scalable in terms of adding new services and scope.

Because the company is global, the Author/Trainer should expect to work remotely from their own base, but at hours reflecting various timezones. Part of the desk is in the Phillippines, another in India. Subject matter experts are in numerous countries and timezones worldwide. The client itself is headquartered in California. The universal corporate language is English. The trainer/author will be reporting to me, as Service Desk Transformation Project Lead.

As the desk is undergoing transformation, it is not yet known how many people will need to be trained, but it is likely to be several dozen. 10 to 20 SMEs and workgroup heads and operational staff may need to be interviewed. The author/trainer will require routine access to internet video-conferencing. High-speed internet connection is essential. ",United States,65,4,29,4.99,49,2015-03-12T00:00:00.000Z,736966.74 USD
Here2Treat are expanding our development team,https://www.upwork.com/job/~010cbc44d2a79a2880,2021-07-12T07:04:33.276Z,0 USD,"We are looking to add one more developer to the team, building a healthcare platform. This will be a long term commitment for 30+ hours/week. At the moment the team consists of one full time developer, a project manager and a medical doctor.

Technical skills:
- asp.net core
- Entity Framework core
- SQL server
- JavaScript and jQuery
- Bootstrap

Architectural skills: (a plus, not mandatory)
- SOLID principles
- Design Patterns
- Azure fundamentals

Currently we have most of the core system built and working on branding and releasing the platform, which we do slowly while ensuring everything works as it should. First task could very well be to rewrite some of the way data is fetched, the plan is to have some basic services for all data objects.

As we are just going live it is important for us to be able to make necessary bug fixes quickly, so we want to have at least two developers on board.

If you want to get in on the team of a global platform from the start, this is your chance.

We are used to working with developers remotely and usually have weekly team meetings. Availability in weekends and in the timespan from 16:00-21:00 Danish time, will be preferred",Denmark,7,1,0,0,4,2019-06-06T00:00:00.000Z,46863.81 USD
*WFH* German / English (Bilingual) Online Support #JS,https://www.upwork.com/job/~01b0f6b113df11738d,2021-07-12T05:56:00.190Z,0 USD,"Callnovo Contact Center is a 16+ years professional Canada-based global contact center. We hire global Customer Service Representatives (CSRs).

Here's the details:
- USD$ 6.50 /hour - USD$ 7.50 /hour with a daily paid 45-minute lunch break and bio-break. Approximately 168-188 monthly paid hours.
- An efficient, proactive-personality, responsible, responsive Customer Service representative is required.
- 1+ years of Customer service experience required.E-Commerce customer service experience will be prefered 
- Must possess strong German / English communication skills and must also be able to accurately express yourself in speaking and in writing via both languages.
- We'll provide CRM and softphone system access.
- A good computer, reliable Internet access, and also a quiet work environment required.
- Work from the comfort of your own home.
- Callnovo's friendly management team and the service client will provide the necessary training to get you on board.

Work Shift Hours: 9:00 AM to 6:00 PM Central European Time (Monday - Friday).",China,157,7,17,4.98,56,2008-12-10T00:00:00.000Z,29241.16 USD
Level 2 Technical Support Representative (Service Desk),https://www.upwork.com/job/~011e1077c15ef0df56,2021-07-12T03:40:21.656Z,0 USD,"The role responsibilities include:
- Advanced incident resolution
- Vendor remote case resolution
- Customer system infrastructure benchmark monitoring
- Remote user support
- Application rollouts
- Automation of administrative tasks and remedial actions
- Operational work documentation
- Hardware equipment repairs  (remote)
- PC/Laptop build and imaging
- Troubleshooting


What we're looking for:

A motivated and knowledgeable IT customer representative with strong knowledge / skills in areas listed below:
- Outstanding customer service
- Excellent communication skills written and oral
- Minimum 2 years IT customer service experience providing Level 1-2 IT Support.
- An IT qualification with proven call centre experience (not a requirement but extra points if you do)
- Advanced knowledge in automating tasks via Kaseya, batch scripts, Powershell, GPO
- Advanced AV and backup software
- Advanced Workstation hardware and peripheral support skills
- Advanced Server and storage hardware admin and support skills
- Advanced MS Outlook and MS Office support
- Advanced Windows Server, AD admin and support
- Advanced MS Exchange Server and Office 365, Advanced admin and support knowledge
- Intermediate security skills
- Intermediate skills in Application topology (SQL, client server topology)
- Beginner Virtualization skills (Hyper-V or VMWare)
- Beginner application virtualization skills (MS TS or Citrix)
- Intermediate Firewall admin and support
- Advanced Antispam admin and support
- Advanced DNS admin and support
- Valid certifications such as MCSA 2016, CCNA is a bonus.
- Fluency in English is a requirement
- Must be punctual and reliable as this is a strong team environment that relies on each other
- Ability to work unsupervised and meticulously

What we are offering:
- Brilliant work environment
- High performance team
- People focused organization
- All in all, a fun place to work where you can expect to get recognition for your efforts
- Immediate start preferred

Ideal candidate should be available to work Monday - Friday 8a.m. to 5p.m. NZT but open to negotiations.",New Zealand,23,1,5,5,12,2020-02-02T00:00:00.000Z,84358.84 USD
"Technical Project Manager Needed to lead remote team of developers, fluent Spanish preferred",https://www.upwork.com/job/~0164a928dfeb66474a,2021-07-12T02:11:09.000Z,0 USD,"Our company has an internal development team in charge of automating our internal business processes.  As we have grown the department our requirements have become increasingly complex, and as such now need the assistance of an experience technical project manager to help implement best practices within the group.  You will also be the project manager, implementing best practices and coordinating the development process.  A coding background is a must, as you will need to understand the code and be able to challenge the developers on their timelines when needed.  Our group is a based out of the Dominican republic, so Spanish fluency is preferred..",Dominican Republic,185,5,46,4.98,118,2007-05-10T00:00:00.000Z,144467.58 USD
B2B Air Purification Company seeking Inbound Marketing Expert to help with sales funnel,https://www.upwork.com/job/~0193e5ab8664f0065c,2021-07-11T23:11:11.210Z,0 USD,"Hello there!

My name is Mike and I am the founder of Jaspr, and I am looking for someone to help us manage our tech stack. 

About me:
I love creating companies, and connecting with people to solve amazing problems that can make the world a better place.. A little about about me here -  [MikeFeld.com](http://mikefeld.com/) 

I believe that talented freelancers should choose the  companies and products they work on, even more so than a company chooses freelancers . So I believe this is a collaborative process where we both evaluate each other and see if working together is the best way to maximum value for the company, the individual (you) and the world (with the problems that we solve together)

A couple of facts that motivate me about the importance of air quality in our lives.

As humans, we eat 2-3 pounds of food per day, drink 1-2 litres of water and breathe over 13,000 litres of air per day. People think about what they eat, drink and how much they exercise but often neglect the air they breathe. We firmly believe that air is the 3rd pillar of health, and we are on a mission to spread this message and provide people with education and solutions.

About Jaspr:
- We launched May 25 2020
- We launched during the pandemic and have been almost always perpetually sold out, only now have we finally got our supply chain dialled in and we are ready for scale mode.
- We have 900 units sold ($1975 MSRP)
- We sell outright and also on a monthly sales rental model (we are transitioning to focusing on the rental model)
- 95% of our clients are doctors and dentists
- We have had 0 requests for return and lots of repeat purchasers 
- We have a new model coming out in 6 weeks with automated scheduling features and an improved design.
- We have lots of 5* reviews and really happy clients
- We have a recurring revenue model where we ship filters every 6 months.

Our Tech Stack:
- Xero - invoicing and accounting
- Shopify -  for order management and fufillment
- Hubspot - just started - for sales
- Chargebee - just starting - for subscriptions))
- AirTable - for data management
- Zapier -  to connect the dots 



**OKAY! Enough about me and the company lets talk about YOU!**

It is important for me to focus on building the business, making strategic partnerships and deals. 

We have recently begin to implement hubspot and start running Facebook ads. We are getting leads and we have a great understanding of our customers pain points and a war chest of content.

However - we have no experience with nurturing leads and creating inbound sales process. As of now our marketing and sales efforts are completely unaligned and require some serious support.


I am looking for someone who has tons of experience creating inbound sales processes, and a deep understanding how hubspot works.

We have a strong partner helping with with lead generation but we need to make sure we are aligned and handling those leads properly. 



**Pre-Requisite Experience:**

Here is the list of skills we believe are necessary for this career.

- **Willing to Drive Results:** The #1 value of our team is results. Not hard work—RESULTS. If you like to actually get things done, this is the place for you. If you want to just be busy and engage in work theater, this is not the right place.
- **Deep Desire to Improve:** We have a culture that is built on everyone working hard to learn and improve and push themselves.
- **Optimistic & Positive:** We believe that optimism and positivity are super powers. If you have a great attitude and your default state is in a good mood, that is a skill.
- **Organized and Detail-Oriented:** We’re agile and move quick. You must be able to stay organized and keep details straight, or it messes with the rest of the department.
- **Enthusiastic Learner:** We will be solving new and complex problems together in this role. Our marketing strategies are multi-faceted and require lots of crucial planning, mapping and manipulating (in a good way) technology and tools to achieve our goals. That often means we need to teach ourselves new skills by conducting research or connecting with outside experts in order to drive forward our results. The idea of learning new things with a large degree of autonomy and working outside of your comfort zone should absolutely thrill you, rather than terrify you.


If this is you, please apply and let's see how you can help Jaspr turn more leads into sales. ",Canada,350,3,111,4.48,161,2011-05-28T00:00:00.000Z,87836.48 USD
"B2B Content Writing - Blogs, bios, press releases and more",https://www.upwork.com/job/~010dd338deba8fa4df,2021-07-11T17:52:09.651Z,0 USD,"Marketri, a strategic marketing consultancy, is looking to bolster our freelance content writing team.  Our firm and clients have a great need for carefully crafted, original, insightful, and clever content. Occasionally, the content can be a bit more technical and specific (like a case study or a white paper).

We are seek an individual or individuals with 10+ years of content marketing experience, which would include blogs, white papers, case studies, bios, and web copy.  B2B experience is preferred. The first project will be to write two blogs for Marketri so we can get a feel for your writing abilities before working with one of our clients.  For these blogs, you will interview one or more Marketri team members.",United States,115,4,65,4.99,86,2015-10-18T00:00:00.000Z,183726.04 USD
Full-Time Senior Backend Drupal Developer for Long Term Engagement,https://www.upwork.com/job/~0119490a46c8c587b9,2021-07-10T20:22:28.931Z,0 USD,"Are you looking for a full-time, stable job and want to stop looking for projects every month?  We are looking for a strong, independent (not agency) Senior Drupal Developer for a variety of projects to joint our distributed team long term as lead. Looking for a rockstar to lead innovative and out of the box solutions using Drupal 8.  Work your own hours with our distributed team in Ukraine and Russia.

- this is for long-term full time work, starting immediately.
- We only want people who want to build a long term relationship.
- Extensive Experience with Drupal Commerce
- You love solving technical challenges but also enjoy simple tasks
- Experience with SOLR
- Experience with large Drupal sites",United States,123,5,35,4.91,49,2013-02-10T00:00:00.000Z,442416.39 USD
Technical Program Manager - SAAS,https://www.upwork.com/job/~011803f2aa8a2b740d,2021-07-10T18:37:05.531Z,0 USD,"Technical program management with experience in handling SaaS projects. Must have the ability to recognize, measure, and mitigate the many risks that come with any approach.
Should exhibit strong leadership skills and extensive experience in technical program management in a SaaS. Exceptional communication and interpersonal skills.Experience Managing Cisco Projects will be awesome.",United States,230,4,105,4.92,123,2018-02-18T00:00:00.000Z,28975.51 USD
